source_page,tag,release_date,commit_sha,release_notes_url
1,v3.0.3,2026-05-11T16:19:45Z,72f2fea,https://github.com/pandas-dev/pandas/releases/tag/v3.0.3
1,v3.0.2,2026-03-30T19:34:56Z,ab90747,https://github.com/pandas-dev/pandas/releases/tag/v3.0.2
1,v3.0.1,2026-02-17T21:04:52Z,e04b26f,https://github.com/pandas-dev/pandas/releases/tag/v3.0.1
1,v3.1.0.dev0,2026-01-27T11:13:22Z,1797ba5,https://github.com/pandas-dev/pandas/releases/tag/v3.1.0.dev0
1,v3.0.0,2026-01-21T13:53:10Z,366ccdf,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0
1,v3.0.0rc2,2026-01-14T21:52:12Z,bb69be8,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0rc2
1,v3.0.0rc1,2025-12-19T21:34:02Z,7242759,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0rc1
1,v3.0.0rc0,2025-12-03T16:06:20Z,1a3230d,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0rc0
1,v2.3.3,2025-09-29T22:12:37Z,9c8bc3e,https://github.com/pandas-dev/pandas/releases/tag/v2.3.3
1,v2.3.2,2025-08-21T08:43:24Z,4665c10,https://github.com/pandas-dev/pandas/releases/tag/v2.3.2
2,v2.3.1,2025-07-07T17:28:34Z,c888af6,https://github.com/pandas-dev/pandas/releases/tag/v2.3.1
2,v2.3.0,2025-06-05T02:09:58Z,2cc3762,https://github.com/pandas-dev/pandas/releases/tag/v2.3.0
2,v2.3.0.dev0,2024-10-02T10:51:26Z,0eb547b,https://github.com/pandas-dev/pandas/releases/tag/v2.3.0.dev0
2,v2.2.3,2024-09-20T12:22:13Z,0691c5c,https://github.com/pandas-dev/pandas/releases/tag/v2.2.3
2,v2.2.2,2024-04-10T17:43:07Z,d9cdd2e,https://github.com/pandas-dev/pandas/releases/tag/v2.2.2
2,v2.2.1,2024-02-23T14:49:46Z,bdc79c1,https://github.com/pandas-dev/pandas/releases/tag/v2.2.1
2,v2.2.0,2024-01-20T00:39:39Z,f538741,https://github.com/pandas-dev/pandas/releases/tag/v2.2.0
2,v3.0.0.dev0,2024-01-11T01:34:52Z,dc37a6d,https://github.com/pandas-dev/pandas/releases/tag/v3.0.0.dev0
2,v2.2.0rc0,2023-12-22T19:19:29Z,d4c8d82,https://github.com/pandas-dev/pandas/releases/tag/v2.2.0rc0
2,v2.1.4,2023-12-08T14:18:01Z,a671b5a,https://github.com/pandas-dev/pandas/releases/tag/v2.1.4
